,course_name,course_link,university_name,course_type,university_logo,time_required,course_language,course_subtitles,course_skills,course_rating,category,sub_category,course_level
0, Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,https://www.coursera.org/learn/ictus-agudo-escala-race,Universitat de Barcelona,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/0c/dd4200c5a911e5b91fdda7c1ae96a1/simbol_pos_rgb-1x1-360px.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 14 hours to complete,Spanish,Subtitles: Spanish,[],not-mentioned,Health,Patient Care,Intermediate Level
1, Brand & Content Marketing ,https://www.coursera.org/learn/brand-and-content-marketing,IE Business School,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/c1/7b3f70ad6911e68aeeff5dd478f537/01_ie_Claim_V_300_square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 15 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",[],4.2stars,Arts and Humanities,History,Intermediate Level
2, Cluster Analysis using RCmdr,https://www.coursera.org/learn/cluster-analysis-rcmdr,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,one hour,English,English,"['Cluster Analysis', 'Dendrogram', 'K-Means Clustering', 'Rcmdr']",not-mentioned,Data Science,Data Analysis,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish"
3," Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",https://www.coursera.org/learn/comercio-inmigracion-tipos-de-cambio,IE Business School,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/c1/7b3f70ad6911e68aeeff5dd478f537/01_ie_Claim_V_300_square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 11 hours to complete,Spanish,Subtitles: Spanish,[],not-mentioned,Social Sciences,Economics,Beginner Level
4, Create a Budget with Google Sheets,https://www.coursera.org/learn/create-a-budget-with-google-sheets,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,1 hour,English,English,"['Spreadsheet', 'Budget', 'Google Sheets', 'Template']",4.8stars,Business,Finance,Subtitles: Spanish
5, Curso Completo de Spark con Databricks (Big Data),https://www.coursera.org/learn/curso-completo-spark-databricks,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['Spark SQL', 'Machine Learning', 'Spark', 'Databricks', 'PySpark']",not-mentioned,Data Science,Data Analysis,mixed/not-mentioned
6, Enhance Organizational Communications with Slack,https://www.coursera.org/learn/enhance-organizational-communications-with-slack,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['Resource Management', 'Collaborating', 'Slack', 'Business Communication', 'Team Management']",4.5stars,Business,Business Essentials,mixed/not-mentioned
7, FPGA computing systems: Background knowledge and introductory materials,https://www.coursera.org/learn/fpga-intro,Politecnico di Milano,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/fda9c0b19111e6882591891fb498a5/Polimi_logo_square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 46 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",[],4.6stars,Computer Science,Design and Product,Beginner Level
8, Fundamentals of the Chinese character writing. Part 2,https://www.coursera.org/learn/chinese-character-writing-2,Saint Petersburg State University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/f7/9cff8f7e909ad6d37a2f94eb5cfd4f/CoA_Medium_color.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 14 hours to complete,English,Subtitles: English,[],not-mentioned,Language Learning,Other Languages,Beginner Level
9, Future Healthcare Payment Models,https://www.coursera.org/learn/healthcare-payment-models,Northeastern University ,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/0f/a2cb901a6f11e9ae48e9624f538bca/NU_MonoNU_CMYK_RB-_3_.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 16 hours to complete,English,Subtitles: English,[],4.5stars,Health,Healthcare Management,Beginner Level
10, IT Security: Defense against the digital dark arts ,https://www.coursera.org/learn/it-security,Google,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b6/a7ddd772194a22b3e8e8cb27d29702/500x500_Google.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 29 hours to complete,English,"Subtitles: English, Spanish, Portuguese (Brazilian), Arabic","['Cybersecurity', 'Wireless Security', 'Cryptography', 'Network Security']",4.8stars,Information Technology,Security,Beginner Level
11, Intel® Network Academy - Network Transformation 101,https://www.coursera.org/learn/network-transformation-101,Intel,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/17/c51cacf1b54aa18fbad3bdeabf36eb/logo-energyblue-3000px.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 18 hours to complete,English,Subtitles: English,"['Software-Defined Networking', 'Internet Of Things (IOT)', 'Network Architecture', 'Network Function Virtualization']",4.5stars,Information Technology,Networking,Beginner Level
12, International Labour Law,https://www.coursera.org/learn/international-labour-law,Saint Petersburg State University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/f7/9cff8f7e909ad6d37a2f94eb5cfd4f/CoA_Medium_color.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 15 hours to complete,English,Subtitles: English,[],not-mentioned,Social Sciences,Law,Beginner Level
13, Introduction to G Suite,https://www.coursera.org/learn/introduction-g-suite,Google Cloud,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 7 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish, Japanese",[],4.7stars,Computer Science,Computer Security and Networks,Beginner Level
14, JavaScript While Loop,https://www.coursera.org/learn/javascript-while-loop,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,2 hours,English,English,"['Do/While Loop', 'JavaScript Loop', 'looping', 'While Loop', 'Repetition Programming']",not-mentioned,Computer Science,Mobile and Web Development,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish, Japanese"
15, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,https://www.coursera.org/learn/know-thyself-the-examined-life,The University of Edinburgh,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/a9/e4018cf6f3036dcc6762b8058a92f1/square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 19 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Hebrew, Spanish",[],4.6stars,Arts and Humanities,Philosophy,Beginner Level
16, Managing G Suite,https://www.coursera.org/learn/managing-g-suite,Google Cloud,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 8 hours to complete,English,Subtitles: English,[],4.7stars,Computer Science,Computer Security and Networks,Beginner Level
17, Mandarin Chinese for Intermediate Learners: Part 1,https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1,Shanghai Jiao Tong University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/18/8ae455893dd9386c855414acf90ed8/________.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 16 hours to complete,Chinese (Simplified),Subtitles: Chinese (Simplified),"['Mandarin Chinese', 'foreign language', 'HSK3']",4.7stars,Language Learning,Other Languages,Intermediate Level
18, Modernizing Data Lakes and Data Warehouses with GCP,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,Google Cloud,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 9 hours to complete,English,"Subtitles: English, Spanish",[],not-mentioned,Information Technology,Cloud Computing,Intermediate Level
19, Non parametric Tests using R Cmdr,https://www.coursera.org/learn/non-parametric-tests-rcmdr,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,1 hour 30 minutes,English,English,"['Nonparametric Statistics', 'Data Analysis', 'R Cmdr']",not-mentioned,Data Science,Data Analysis,"Subtitles: English, Spanish"
20, Predictive Analytics for Business with H2O in R,https://www.coursera.org/learn/predictive-analytics-business-h2o-r,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['predictive-analytics', 'r-programming-language', 'business-analytics', 'machine-learning', 'H2O']",4.9stars,Data Science,Machine Learning,mixed/not-mentioned
21, Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,https://www.coursera.org/learn/acute-stroke-race-scale,Universitat de Barcelona,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/0c/dd4200c5a911e5b91fdda7c1ae96a1/simbol_pos_rgb-1x1-360px.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 12 hours to complete,English,Subtitles: English,[],4.8stars,Health,Patient Care,Intermediate Level
22," Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,2 hours,English,English,"['Tensorflow', 'Deep Learning in Python', 'Object Detection', 'Optical Character Recognition', 'Computer Vision']",3.9stars,Data Science,Machine Learning,Subtitles: English
23, Strategically Build and Engage Your Network on LinkedIn ,https://www.coursera.org/learn/strategically-build-and-engage-your-network-on-linkedin,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['publish an article', 'engage your network', 'expand your network', 'establish your brand', 'post content strategically']",4.6stars,Business,Business Strategy,mixed/not-mentioned
24, Supervised Learning: Classification,https://www.coursera.org/learn/supervised-learning-classification,IBM,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 11 hours to complete,English,Subtitles: English,"['Decision Tree', 'Ensemble Learning', 'Classification Algorithms', 'Supervised Learning', 'Machine Learning (ML) Algorithms']",not-mentioned,Data Science,Machine Learning,Intermediate Level
25, System Administration and IT Infrastructure Services,https://www.coursera.org/learn/system-administration-it-infrastructure-services,Google,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b6/a7ddd772194a22b3e8e8cb27d29702/500x500_Google.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 31 hours to complete,English,"Subtitles: Arabic, French, Portuguese (Brazilian), Russian, English, Spanish","['Directory Service', 'Lightweight Directory Access Protocol (LDAP)', 'Backup']",not-mentioned,Information Technology,Support and Operations,Beginner Level
26, Unsupervised Learning,https://www.coursera.org/learn/ibm-unsupervised-learning,IBM,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 9 hours to complete,English,Subtitles: English,"['Dimensionality Reduction', 'Unsupervised Learning', 'Cluster Analysis', 'K Means Clustering', 'Principal Component Analysis (PCA)']",not-mentioned,Data Science,Machine Learning,Intermediate Level
27, Use Canva to Create Desktop and Mobile-friendly Web Pages.,https://www.coursera.org/learn/use-canva-to-create-desktop-and-mobile-friendly-webpages,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,2 hours,English,English,"['Digital Marketting', 'Social Media', 'Business', 'Graphic Design', 'Marketting']",not-mentioned,Business,Marketing,Subtitles: English
28, Бизнес на свои,https://www.coursera.org/learn/biznes-na-svoi-mosigra,National Research Tomsk State University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/6b/43429059de11e58c5b5104eb6e83b9/TSU2-01.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 9 hours to complete,Russian,Subtitles: Russian,[],4.7stars,Business,Business Essentials,Beginner Level
29, Закон стартапа: юридические основы технологического бизнеса	,https://www.coursera.org/learn/zakon-startapa-tekhnologicheskogo-biznesa,Moscow Institute of Physics and Technology,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/48/291dfd1736174fa3dc51726f58884c/logo_square400x400eng_notext_inv.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 9 hours to complete,Russian,Subtitles: Russian,[],5.0stars,Business,Entrepreneurship,Intermediate Level
